content_id	license	date_added	verified
EP0002-BLES00576_00-PGUITARHER000299	2b9b699dbb0f0ee0e638786d01982968	2020/01/01	1
EP0002-BLES00683_00-MODERNWARFARE2D1	1401bd62c9b037f4baefad802de959a1	2020/01/01	1
EP0002-BLES00683_00-MODERNWARFARE2D2	5cc8216a79f9492f6c35757a026f9abf	2020/01/01	1
EP0002-BLES00684_00-MODERNWARFARE2D1	bb7e9bf27d58dacdec7d6027adcdcdf9	2020/01/01	1
EP0002-BLES00684_00-MODERNWARFARE2D2	7d0521315877d7d84687e32c04b221cd	2020/01/01	1
EP0002-BLES00685_00-MODERNWARFARE2D1	4776e070010f94614b6c3d5f23db5a2d	2020/01/01	1
EP0002-BLES00685_00-MODERNWARFARE2D2	515a31e593390014b24a49061f130b59	2020/01/01	1
EP0002-BLES00686_00-MODERNWARFARE2D1	af3fd355eb40150fb773713c01c2d19a	2020/01/01	1
EP0002-BLES00686_00-MODERNWARFARE2D2	e8b38a8efaa58f03a6f4217a5a747a44	2020/01/01	1
EP0002-BLES00687_00-MODERNWARFARE2D1	a1fdfb11f468aa5ba45562e1c59cd6a5	2020/01/01	1
EP0002-BLES00687_00-MODERNWARFARE2D2	d5b537328489144887613b077483a814	2020/01/01	1
EP0002-BLES00690_00-MODERNWARFARE2D1	88f1a285b6f4bd1ccc23ff459b3addaa	2020/01/01	1
EP0002-BLES00690_00-MODERNWARFARE2D2	dc8a4df03cb80340835309def63c2eac	2020/01/01	1
EP0002-BLES00691_00-MODERNWARFARE2D1	f4cf820e256bab413df4b55f04ba9480	2020/01/01	1
EP0002-BLES00691_00-MODERNWARFARE2D2	5a3d9570c853e380aba93caa2483fabf	2020/01/01	1
EP0002-BLES00801_00-GUITARHER0000631	ec06b38ee49d908a34b7e071b24c9221	2020/01/01	1
EP0002-BLES00801_00-GUITARHER0000632	51dfbc35de5e7a11d25a29572811bb83	2020/01/01	1
EP0002-BLES00801_00-GUITARHER0000634	91ddfa2f616ea425ff5a169c86cda76e	2020/01/01	1
EP0002-BLES00801_00-GUITARHER0000653	f4474556e1bee6b0ce8cf2c3f676b497	2020/01/01	1
EP0002-BLES00801_00-GUITARHER0000655	1a58c384de1a26088fe67c0c5e07f26b	2020/01/01	1
EP0002-BLES00801_00-GUITARHER0000657	10f25884df8d08ad8d1258d0dfc10bf6	2020/01/01	1
EP0002-BLES00801_00-GUITARHER0000658	43f40d88bf7d9037fe21b4ac8dbfdcc7	2020/01/01	1
EP0002-BLES00801_00-GUITARHER0000672	46d27ffeef73c9e98603f844e214b854	2020/01/01	1
